,Country,Admin1,Admin2,Month,Year,Events,Fatalities
471,Palestine,Gaza Strip,Rafah,6,2022,1,0
472,Palestine,West Bank,Bethlehem,6,2022,19,1
473,Palestine,West Bank,Salfit,6,2022,10,1
474,Palestine,Gaza Strip,Deir El Balah,6,2022,1,0
475,Palestine,West Bank,Nablus,6,2022,35,0
476,Palestine,West Bank,Ramallah and Al Bireh,6,2022,45,2
477,Palestine,West Bank,Jenin,6,2022,26,6
478,Palestine,West Bank,Qalqilya,6,2022,11,1
479,Palestine,West Bank,Al Quds,6,2022,36,0
480,Palestine,West Bank,Jericho,6,2022,11,0
481,Palestine,Gaza Strip,Gaza City,7,2022,1,0
482,Palestine,Gaza Strip,North Gaza,7,2022,2,0
483,Palestine,West Bank,Tubas,7,2022,2,0
484,Palestine,West Bank,Tulkarm,7,2022,12,1
485,Palestine,Gaza Strip,Khan Yunis,7,2022,0,0
486,Palestine,West Bank,Hebron,7,2022,36,0
